player_name,yearDraft,yearCombine,numberPickOverall,position,height,weight,wingspan,reach_standing,standing_vertical,max_vertical,bench_reps,timeLaneAgility,timeThreeQuarterCourtSprint,lengthHand,widthHand,body_fat_pct,drafted
Delon Wright,2015.0,2015,20.0,PG,1.94,82.28,2.02,257.81,74.93,78.74,4.0,11.16,3.29,20.32,21.59,6.6,True
Tony Wroten,2012.0,2012,25.0,PG,1.95,92.17,2.06,256.54,76.2,90.17,0.0,10.75,3.24,20.32,22.86,5.2,True
Ronnie Brewer,2006.0,2006,14.0,SG-PG,1.97,101.15,2.11,262.89,88.9,104.14,19.0,11.32,3.14,,,5.0,True
Taurean Green,2007.0,2007,52.0,PG,1.8,78.47,1.89,243.84,73.66,82.55,8.0,11.3,3.26,,,4.6,True
Jonny Flynn,2009.0,2009,6.0,PG,1.81,88.72,1.93,242.57,83.82,101.6,10.0,10.86,3.23,,,6.3,True
Gary Trent,2018.0,2018,37.0,SG,1.94,92.62,2.05,248.92,85.09,100.33,12.0,11.37,3.12,21.59,24.13,7.0,True
Perry Ellis,,2016,,PF,2.01,98.79,2.09,259.08,81.28,96.52,,10.73,3.13,20.32,21.59,4.6,False
Lavor Postell,2000.0,2000,39.0,SG,1.94,92.99,2.04,257.81,85.09,92.71,17.0,11.79,3.3,,,,True
Brendan Haywood,2001.0,2001,20.0,C,2.13,120.66,2.3,288.29,68.58,72.39,17.0,12.87,3.5,,,12.9,True
Ronald Steele,,2008,,PG,1.84,83.23,1.94,247.65,63.5,74.93,5.0,11.08,3.26,,,8.1,False
Quincy Miller,2012.0,2012,38.0,SF,2.05,99.2,2.17,266.7,77.47,91.44,8.0,11.05,3.48,23.5,26.04,7.8,True
Cameron Johnson,2019.0,2019,11.0,SG,2.01,93.08,2.08,261.62,77.47,92.71,,10.52,3.26,20.32,21.59,5.8,True
Kenyon Martin Jr.,2020.0,2020,52.0,SF-PF,1.98,96.71,2.01,259.08,80.01,97.79,,11.93,3.16,21.59,22.22,5.9,True
Michael Wright,,2001,,PF,2.01,112.04,2.12,270.51,69.85,85.09,18.0,11.37,3.21,,,9.3,False
Mason Plumlee,2013.0,2013,22.0,C-PF,2.11,108.05,2.11,274.32,77.47,91.44,14.0,10.89,3.29,24.76,24.13,6.15,True
Brook Lopez,2008.0,2008,10.0,C,2.11,117.03,2.27,287.02,69.85,77.47,7.0,12.77,3.57,,,6.3,True
Robert Covington,,2013,,SF-PF,1.99,94.62,2.18,269.24,74.93,91.44,9.0,11.69,3.34,22.86,21.59,4.7,False
Tiago Splitter,,2004,,C-PF,2.09,105.69,2.18,278.13,66.04,80.01,8.0,11.65,3.38,,,5.3,False
Joseph Jones,,2008,,PF,2.01,108.86,2.14,271.78,64.77,78.74,16.0,11.61,3.33,,,12.2,False
James Ennis,2013.0,2013,50.0,SF,1.97,91.08,2.12,265.43,74.93,92.71,7.0,11.55,3.4,21.59,22.22,4.5,True
Terrance Ferguson,2017.0,2017,21.0,SG-SF,1.97,83.64,2.05,261.62,72.39,96.52,,11.16,3.32,21.59,25.4,5.8,True
Jeff Newton,,2003,,PF,2.03,90.26,2.16,269.24,69.85,86.36,9.0,11.18,3.23,,,5.3,False
Josh Okogie,2018.0,2018,20.0,SG,1.9,95.62,2.13,259.08,83.82,106.68,12.0,11.08,3.04,22.86,24.76,5.2,True
Zach Marbury,,2001,,PG-SG,1.86,83.01,1.92,245.11,83.82,92.71,0.0,11.53,3.1,,,6.7,False
Yoeli Childs,,2020,,PF,1.98,102.69,2.12,269.24,86.36,97.79,,10.87,3.22,22.22,25.4,8.2,False
Travis Diener,2005.0,2005,38.0,PG-SG,1.82,74.93,1.82,237.49,62.23,78.74,1.0,10.85,3.26,,,,True
Darius Bazley,2019.0,2019,23.0,PF,2.03,94.53,2.13,271.78,77.47,93.98,4.0,11.09,3.27,22.86,24.76,3.6,True
Marcus Melvin,,2004,,SF-PF,2.0,109.32,2.13,267.97,63.5,77.47,11.0,11.81,3.33,,,10.5,False
Melo Trimble,,2016,,PG,1.86,87.0,1.88,234.95,67.31,90.17,,10.57,3.2,20.32,22.22,8.35,False
James Johnson,2009.0,2009,16.0,SF-PF,2.01,116.66,2.15,267.97,77.47,88.9,18.0,11.21,3.23,,,12.0,True
Marcus Morris,2011.0,2011,14.0,PF-SF,2.01,104.14,2.08,267.97,73.66,83.82,11.0,,3.15,20.96,21.59,8.0,True
James Harden,2009.0,2009,3.0,SG,1.93,100.7,2.1,262.89,80.01,93.98,17.0,11.1,3.13,,,10.1,True
DeJuan Blair,2009.0,2009,37.0,PF,1.96,125.46,2.18,270.51,66.04,83.82,18.0,11.5,3.45,,,12.0,True
Zeke Nnaji,2020.0,2020,22.0,PF-C,2.06,111.95,2.18,267.97,83.82,96.52,,10.94,3.2,22.86,26.67,5.9,True
Ronald Murray,2002.0,2002,41.0,SG,1.9,89.36,2.02,255.27,78.74,92.71,9.0,11.13,3.16,,,,True
Derrick Zimmerman,2003.0,2003,40.0,PG,1.85,86.18,2.06,244.48,86.36,102.87,13.0,11.09,3.1,,,5.3,True
Michael Qualls,,2015,,SG-SF,1.93,91.35,2.14,265.43,86.36,100.33,9.0,11.88,3.18,22.86,26.04,4.0,False
Troy Ostler,,2001,,PF-SF,2.05,90.72,2.17,270.51,67.31,74.93,2.0,13.42,3.5,,,8.0,False
Grayson Allen,2018.0,2018,21.0,SG,1.9,89.81,2.01,246.38,82.55,102.87,,10.31,3.15,20.96,25.4,5.55,True
Stephane Lasme,2007.0,2007,46.0,PF,1.96,96.62,2.18,271.78,74.93,91.44,17.0,11.73,3.22,,,4.9,True
Nick George,,2006,,SF-SG,1.93,91.17,2.08,261.62,77.47,96.52,14.0,11.69,3.25,,,6.0,False
Xavier Tillman Sr.,2020.0,2020,35.0,PF-C,2.02,120.88,2.18,269.24,66.04,82.55,,11.8,3.49,26.04,27.94,8.5,True
Cassius Stanley,2020.0,2020,54.0,SG,1.96,91.44,2.01,252.73,87.63,111.76,,11.4,3.09,20.96,22.86,5.8,True
O'Shae Brissett,,2019,,SF-PF,2.01,92.17,2.13,264.16,86.36,95.25,11.0,11.3,3.48,22.86,24.13,2.9,False
Trevor Harvey,,2003,,C-PF,2.07,111.13,2.16,278.13,74.93,81.28,11.0,11.85,3.32,,,10.5,False
Vincent Yarbrough,2002.0,2002,32.0,SF,1.97,91.63,2.15,265.43,76.2,86.36,10.0,11.7,3.32,,,,True
Brian Bowen,,2018,,SG-SF,1.99,91.63,2.09,262.89,77.47,86.36,0.0,11.58,3.28,22.86,25.4,7.6,False
Chris Taft,2005.0,2005,42.0,PF,2.04,118.39,2.18,276.86,72.39,83.82,14.0,11.26,3.27,,,,True
Ron Baker,,2016,,SG,1.91,96.34,2.08,247.65,76.2,90.17,,10.77,3.45,22.22,24.13,7.85,False
Naji Marshall,,2020,,SF,1.97,105.91,2.15,260.35,72.39,88.9,,11.77,3.37,23.5,26.67,8.7,False
Will Blalock,2006.0,2006,60.0,PG,1.81,88.0,1.98,245.11,88.9,101.6,8.0,11.08,3.18,,,7.2,True
Rodrigue Beaubois,2009.0,2009,25.0,PG,1.86,82.74,2.08,254.0,74.93,99.06,3.0,10.49,3.15,,,7.9,True
Tyus Battle,,2018,,SG,1.96,90.81,2.06,259.08,81.28,95.25,9.0,11.04,3.07,21.59,23.5,4.0,False
Rawle Alkins,,2017,,SG-SF,1.89,100.97,2.05,251.46,80.01,102.87,7.0,11.99,3.3,22.22,25.4,11.0,False
Fab Melo,2012.0,2012,22.0,C,2.1,115.67,2.2,279.4,74.93,78.74,9.0,12.14,3.44,22.86,25.4,9.2,True
Steven Smith,,2006,,SF-PF,2.02,107.95,2.15,264.16,74.93,87.63,15.0,12.08,3.4,,,7.8,False
Norris Cole,2011.0,2011,28.0,PG,1.84,79.11,1.89,242.57,74.93,97.79,11.0,10.07,3.22,21.59,24.13,4.7,True
Kris Humphries,2004.0,2004,14.0,PF,2.04,107.95,2.15,270.51,74.93,91.44,22.0,11.33,3.2,,,6.7,True
Devon Dotson,,2019,,PG,1.83,81.01,1.91,242.57,76.2,97.79,7.0,10.63,3.04,20.96,24.13,5.9,False
Jay Williams,2002.0,2002,2.0,PG,1.84,89.36,1.92,246.38,72.39,91.44,10.0,10.34,3.09,,,,True
Danny Granger,2005.0,2005,17.0,,2.02,102.24,2.17,261.62,78.74,86.36,10.0,10.84,3.34,,,,True
Sean Dockery,,2006,,PG-SG,1.85,82.55,1.94,242.57,73.66,83.82,4.0,10.88,3.34,,,7.3,False
Igor Rakocevic,2000.0,2000,51.0,PG,1.89,83.46,1.96,254.0,69.85,86.36,9.0,10.4,3.1,,,,True
A.J. Price,2009.0,2009,52.0,PG,1.84,87.45,1.92,246.38,66.04,78.74,11.0,10.99,3.22,,,12.4,True
Pops Mensah-Bonsu,,2006,,PF-C,2.02,105.23,2.13,267.97,80.01,91.44,19.0,11.47,3.29,,,5.8,False
Kyle Guy,2019.0,2019,55.0,SG,1.85,76.11,1.94,242.57,77.47,92.71,4.0,10.48,3.27,20.32,22.22,5.7,True
Kadeem Allen,2017.0,2017,53.0,PG,1.85,87.27,2.06,252.73,83.82,90.17,7.0,11.24,3.15,21.59,22.22,6.4,True
Erik Daniels,,2004,,SF-PF,1.99,101.15,2.11,269.24,78.74,81.28,4.0,11.38,3.19,,,18.5,False
Taquan Dean,,2006,,SG-PG,1.88,83.01,2.0,248.92,77.47,87.63,16.0,10.53,3.2,,,3.9,False
Josh Smith,2004.0,2004,17.0,SG-SF,2.01,100.24,2.13,270.51,82.55,100.33,12.0,11.43,3.24,,,6.7,True
Jeremy Lamb,2012.0,2012,12.0,SG,1.93,81.28,2.11,259.08,80.01,96.52,5.0,10.98,3.25,22.22,23.5,4.5,True
Brandon Paul,,2013,,SG,1.9,91.17,2.09,248.92,85.09,100.33,15.0,11.16,3.37,21.59,24.13,5.25,False
TJ Cummings,,2004,,SF,2.02,97.52,2.07,270.51,68.58,78.74,6.0,11.58,3.12,,,6.7,False
Renaldas Seibutis,,2007,,SG,1.93,83.91,2.05,256.54,60.96,82.55,1.0,11.33,3.39,,,6.1,False
V.J. Beachem,,2017,,SG-SF,1.99,87.72,2.09,265.43,76.2,93.98,11.0,11.18,3.26,21.59,22.86,6.8,False
Chris Porter,2000.0,2000,55.0,SF-PF,1.97,97.07,2.07,262.89,72.39,88.9,6.0,10.93,3.2,,,,True
Jordan Adams,2014.0,2014,22.0,SG,1.92,94.71,2.08,259.08,62.23,74.93,,12.13,3.5,21.59,19.05,10.8,True
